Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685426400000,1898.01000000,1903.57000000,1898.00000000,1902.55000000,8555.33540000,1685429999999,16267377.73389400,16837,4679.56580000,8897399.98348000,0
1685430000000,1902.55000000,1905.00000000,1898.22000000,1898.23000000,7601.79980000,1685433599999,14455822.48378000,18502,2978.94710000,5665389.85561500,0
1685433600000,1898.22000000,1904.80000000,1898.22000000,1902.24000000,8621.38880000,1685437199999,16400701.38480100,15113,3899.87770000,7417612.26439200,0
1685437200000,1902.25000000,1908.88000000,1902.24000000,1906.86000000,8847.59030000,1685440799999,16864786.54340500,16097,4333.49270000,8259610.20009400,0
1685440800000,1906.85000000,1917.00000000,1906.51000000,1907.41000000,17476.59080000,1685444399999,33401408.10657100,23952,9732.36880000,18600285.94268800,0
1685444400000,1907.41000000,1915.97000000,1905.54000000,1915.40000000,11981.19160000,1685447999999,22910858.17085300,18425,7300.57550000,13960341.49039200,0
1685448000000,1915.40000000,1915.70000000,1904.16000000,1909.73000000,13472.00440000,1685451599999,25730892.23933900,22451,5552.19260000,10604402.05503000,0
1685451600000,1909.73000000,1914.24000000,1902.72000000,1905.43000000,19668.02830000,1685455199999,37556650.00515500,24955,8369.71300000,15982384.77885800,0
1685455200000,1905.43000000,1910.20000000,1896.20000000,1896.88000000,23896.79010000,1685458799999,45489689.95405200,29535,12185.88360000,23197416.44150000,0
1685458800000,1896.87000000,1904.05000000,1894.11000000,1900.56000000,15128.69920000,1685462399999,28740633.00075800,22221,8454.64760000,16062110.79205600,0
1685462400000,1900.56000000,1905.80000000,1891.33000000,1904.22000000,16684.67470000,1685465999999,31698562.53731800,22262,7163.87640000,13611725.60794700,0
1685466000000,1904.23000000,1912.64000000,1897.61000000,1902.80000000,13657.17990000,1685469599999,26006384.35646000,18856,6123.27150000,11660634.28408200,0
